,well,strain,plasmid,iptg,rep,channel,gain,measurement
0,A1,JS006,HCA pT7 GFP,0,1,OD600,1,1.2633333333333334
4,A2,JS006,HCA pT7 GFP,0,2,OD600,1,1.2383333333333333
8,A3,JS006,HCA pT7 GFP,0,3,OD600,1,1.2843333333333333
12,A4,JS006,HCK pT7 GFP,0,1,OD600,1,1.1123333333333334
16,A5,JS006,HCK pT7 GFP,0,2,OD600,1,1.1393333333333333
20,A6,JS006,HCK pT7 GFP,0,3,OD600,1,1.1703333333333334
24,A7,JS006,HCK T13m pT7 GFP,0,1,OD600,1,1.2143333333333333
28,A8,JS006,HCK T13m pT7 GFP,0,2,OD600,1,1.1333333333333333
32,A9,JS006,HCK T13m pT7 GFP,0,3,OD600,1,1.1243333333333334
36,A10,JS006,HCK T13m T12m pT7 GFP,0,1,OD600,1,1.1883333333333332
40,A11,JS006,HCK T13m T12m pT7 GFP,0,2,OD600,1,1.1833333333333333
44,A12,JS006,HCK T13m T12m pT7 GFP,0,3,OD600,1,1.0013333333333334
48,B1,naive 1x,HCA pT7 GFP,0,1,OD600,1,1.0303333333333333
52,B2,naive 1x,HCA pT7 GFP,0,2,OD600,1,1.1123333333333334
56,B3,naive 1x,HCA pT7 GFP,0,3,OD600,1,1.1283333333333334
60,B4,naive 1x,HCK pT7 GFP,0,1,OD600,1,1.0073333333333334
64,B5,naive 1x,HCK pT7 GFP,0,2,OD600,1,1.0383333333333333
68,B6,naive 1x,HCK pT7 GFP,0,3,OD600,1,1.0423333333333333
72,B7,naive 1x,HCK T13m pT7 GFP,0,1,OD600,1,1.1453333333333333
76,B8,naive 1x,HCK T13m pT7 GFP,0,2,OD600,1,1.1553333333333333
80,B9,naive 1x,HCK T13m pT7 GFP,0,3,OD600,1,1.1183333333333334
84,B10,naive 1x,HCK T13m T12m pT7 GFP,0,1,OD600,1,1.2123333333333335
88,B11,naive 1x,HCK T13m T12m pT7 GFP,0,2,OD600,1,1.2103333333333333
92,B12,naive 1x,HCK T13m T12m pT7 GFP,0,3,OD600,1,1.1243333333333334
96,C1,JS006,HCA pT7 GFP,10,1,OD600,1,1.2733333333333334
100,C2,JS006,HCA pT7 GFP,10,2,OD600,1,1.2993333333333335
104,C3,JS006,HCA pT7 GFP,10,3,OD600,1,1.3093333333333335
108,C4,JS006,HCK pT7 GFP,10,1,OD600,1,1.1853333333333333
112,C5,JS006,HCK pT7 GFP,10,2,OD600,1,1.1933333333333334
116,C6,JS006,HCK pT7 GFP,10,3,OD600,1,1.1723333333333334
120,C7,JS006,HCK T13m pT7 GFP,10,1,OD600,1,1.1783333333333335
124,C8,JS006,HCK T13m pT7 GFP,10,2,OD600,1,1.1523333333333334
128,C9,JS006,HCK T13m pT7 GFP,10,3,OD600,1,1.1053333333333333
132,C10,JS006,HCK T13m T12m pT7 GFP,10,1,OD600,1,1.2093333333333334
136,C11,JS006,HCK T13m T12m pT7 GFP,10,2,OD600,1,1.2343333333333335
140,C12,JS006,HCK T13m T12m pT7 GFP,10,3,OD600,1,1.0383333333333333
144,D1,naive 1x,HCA pT7 GFP,10,1,OD600,1,0.8633333333333334
148,D2,naive 1x,HCA pT7 GFP,10,2,OD600,1,0.9273333333333333
152,D3,naive 1x,HCA pT7 GFP,10,3,OD600,1,0.9453333333333334
156,D4,naive 1x,HCK pT7 GFP,10,1,OD600,1,1.1063333333333334
160,D5,naive 1x,HCK pT7 GFP,10,2,OD600,1,1.0983333333333334
164,D6,naive 1x,HCK pT7 GFP,10,3,OD600,1,1.0823333333333334
168,D7,naive 1x,HCK T13m pT7 GFP,10,1,OD600,1,1.1533333333333333
172,D8,naive 1x,HCK T13m pT7 GFP,10,2,OD600,1,1.1223333333333334
176,D9,naive 1x,HCK T13m pT7 GFP,10,3,OD600,1,1.1373333333333333
180,D10,naive 1x,HCK T13m T12m pT7 GFP,10,1,OD600,1,1.1593333333333333
184,D11,naive 1x,HCK T13m T12m pT7 GFP,10,2,OD600,1,1.1903333333333335
188,D12,naive 1x,HCK T13m T12m pT7 GFP,10,3,OD600,1,1.1793333333333333
192,E1,JS006,HCA pT7 GFP,50,1,OD600,1,1.2953333333333334
196,E2,JS006,HCA pT7 GFP,50,2,OD600,1,1.2783333333333333
200,E3,JS006,HCA pT7 GFP,50,3,OD600,1,1.3183333333333334
204,E4,JS006,HCK pT7 GFP,50,1,OD600,1,1.1943333333333335
208,E5,JS006,HCK pT7 GFP,50,2,OD600,1,1.1823333333333335
212,E6,JS006,HCK pT7 GFP,50,3,OD600,1,1.1963333333333335
216,E7,JS006,HCK T13m pT7 GFP,50,1,OD600,1,1.1623333333333334
220,E8,JS006,HCK T13m pT7 GFP,50,2,OD600,1,1.1333333333333333
224,E9,JS006,HCK T13m pT7 GFP,50,3,OD600,1,1.1113333333333333
228,E10,JS006,HCK T13m T12m pT7 GFP,50,1,OD600,1,1.1813333333333333
232,E11,JS006,HCK T13m T12m pT7 GFP,50,2,OD600,1,1.2673333333333332
236,E12,JS006,HCK T13m T12m pT7 GFP,50,3,OD600,1,1.0523333333333333
240,F1,naive 1x,HCA pT7 GFP,50,1,OD600,1,1.2703333333333333
244,F2,naive 1x,HCA pT7 GFP,50,2,OD600,1,1.2783333333333333
248,F3,naive 1x,HCA pT7 GFP,50,3,OD600,1,1.2593333333333334
252,F4,naive 1x,HCK pT7 GFP,50,1,OD600,1,1.1193333333333333
256,F5,naive 1x,HCK pT7 GFP,50,2,OD600,1,0.8453333333333334
260,F6,naive 1x,HCK pT7 GFP,50,3,OD600,1,0.8943333333333333
264,F7,naive 1x,HCK T13m pT7 GFP,50,1,OD600,1,1.2193333333333334
268,F8,naive 1x,HCK T13m pT7 GFP,50,2,OD600,1,1.1973333333333334
272,F9,naive 1x,HCK T13m pT7 GFP,50,3,OD600,1,1.1703333333333334
276,F10,naive 1x,HCK T13m T12m pT7 GFP,50,1,OD600,1,1.1953333333333334
280,F11,naive 1x,HCK T13m T12m pT7 GFP,50,2,OD600,1,1.2123333333333335
284,F12,naive 1x,HCK T13m T12m pT7 GFP,50,3,OD600,1,1.2393333333333334
300,G4,JS006,none,0,1,OD600,1,1.2583333333333333
304,G5,JS006,none,0,2,OD600,1,1.2943333333333333
308,G6,JS006,none,0,3,OD600,1,1.2903333333333333
